DRCOV VERSION: 3
DRCOV FLAVOR: drcov
Module Table: version 5, count 56
Columns: id, containing_id, start, end, entry, offset, preferred_base, checksum, timestamp, path
  0,   0, 0x0000000071000000, 0x00000000711c0000, 0x00000000710a2e70, 0000000000000000, 0x0000000071000000, 0x0019203b, 0x620aa6ec,  C:\ProjectA\DynamoRIO-Windows-9.0.1\lib64\release\dynamorio.dll
 54,  54, 0x00007ffff7bf0000, 0x00007ffff8384000, 0x00007ffff7da8d60, 0000000000000000, 0x00007ffff7bf0000, 0x007a37a5, 0x037ae251,  C:\Windows\System32\windows.storage.dll
 55,  55, 0x00007ffffadf0000, 0x00007ffffae45000, 0x00007ffffadfa7a0, 0000000000000000, 0x00007ffffadf0000, 0x00061f73, 0x857f2e00,  C:\Windows\System32\shlwapi.dll
BB Table: 23146 bbs
module id, start, size:
module[ 51]: 0x0000000000052630,  19
module[ 51]: 0x0000000000052643,  14
module[ 51]: 0x00000000000a0a10,   2
module[ 42]: 0x0000000000017020,   8
module[ 42]: 0x0000000000017028,  12
module[ 42]: 0x0000000000026440,   2
module[  6]: 0x0000000000001429,   5
module[  6]: 0x0000000000008910,  14
module[  6]: 0x00000000000085e0,   9
module[  6]: 0x0000000000001451,   5
module[  6]: 0x00000000000096e0,  23
module[  6]: 0x00000000000096f7,  19
module[  6]: 0x000000000000974f,   5
module[  6]: 0x00000000000085e9,   5
module[  6]: 0x0000000000008600,  14
module[  6]: 0x000000000000161d,   5
module[  6]: 0x00000000000091c0,  15
module[  6]: 0x00000000000091d6,   5
module[  6]: 0x0000000000001528,   5
module[  6]: 0x000000000000a260, 152
module[  6]: 0x000000000000a302,  80
module[  6]: 0x000000000000a352,  10
module[  6]: 0x000000000000a364,  63
module[  6]: 0x000000000000a41d,  59
module[  6]: 0x000000000000a458,  77
module[  6]: 0x000000000000a4b4,  46
module[  6]: 0x000000000000a4e2,  51
module[  6]: 0x000000000000a515,  26
module[  6]: 0x000000000000a52f,  39
module[  6]: 0x000000000000a556,  45
module[  6]: 0x000000000000a583,  50
module[  6]: 0x000000000000a5e1,  15
module[  6]: 0x0000000000001307,   5
module[  6]: 0x000000000000a8b0,   9
module[  6]: 0x000000000000a8b9,  11
module[  6]: 0x000000000000a8c4,   1
module[  6]: 0x000000000000a5f0,   6
module[  6]: 0x00000000000091db,   5
module[  6]: 0x00000000000010a0,   5
module[  6]: 0x000000000000cc20,   3
module[  6]: 0x00000000000091e0,   7
module[  6]: 0x00000000000091eb,   5
module[  6]: 0x00000000000014d3,   5
module[  6]: 0x00000000000091f0,   7
module[  6]: 0x0000000000009202,   7
module[  6]: 0x000000000000860e,   7
module[  6]: 0x000000000000861f,  10
module[  6]: 0x0000000000001546,   5
module[  6]: 0x0000000000008f90,   9
module[  6]: 0x000000000000124e,   5
module[  6]: 0x000000000000a6e0,  13
module[  6]: 0x000000000000a6ed,   9
module[  6]: 0x000000000000a6fd,   8
module[  6]: 0x0000000000008f99,   4
module[  6]: 0x0000000000008fa1,   5
module[  6]: 0x000000000000153c,   5
module[  6]: 0x0000000000008f80,  10
module[  6]: 0x0000000000008fa6,  51
module[  6]: 0x0000000000008feb,   7
module[  6]: 0x0000000000008629,  13
module[  6]: 0x0000000000008642,   9
module[  6]: 0x000000000000864b,  29
module[  6]: 0x000000000000af18,   6
module[  9]: 0x00000000000742b0,  26
module[  9]: 0x00000000000742d8,  12
module[  9]: 0x00000000000742e4,  11
module[  9]: 0x00000000000742ef,   2
module[  9]: 0x00000000000742ca,  26
module[  9]: 0x00000000000742f1,  24
module[  9]: 0x0000000000156290,   2
module[  6]: 0x00000000000084c0,   9
